id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5278,Kepler-242 c,1958,4.66 Earths,15.489,2014
5279,Kepler-243 b,2263,6.57 Earths,15.159,2014
5280,Kepler-243 c,2263,4.62 Earths,15.159,2014
5281,Kepler-244 b,3381,8.05 Earths,15.747,2014
5282,Kepler-244 c,3381,4.86 Earths,15.747,2014
5283,Kepler-244 d,3381,15.2 Earths,15.747,2014
5284,Kepler-245 b,2810,7.13 Earths,15.546,2014
5285,Kepler-245 c,2810,0.71 Jupiters,15.546,2014
5286,Kepler-245 d,2810,21.6 Earths,15.546,2014
5287,Kepler-245 e,2810,3.71 Earths,15.546,2016
5288,Kepler-246 b,2042,6.08 Earths,15.197,2014
5289,Kepler-246 c,2042,2.86 Earths,15.197,2014
5290,Kepler-247 b,2165,3.33 Earths,15.199,2014
5291,Kepler-247 c,2165,15.7 Earths,15.199,2014
5292,Kepler-247 d,2165,14.7 Earths,15.199,2014
5293,Kepler-248 b,2410,9.38 Earths,15.506,2014
5294,Kepler-248 c,2410,15.6 Earths,15.506,2014
5295,Kepler-249 b,621,1.32 Earths,16.37,2014
5296,Kepler-249 c,621,2.89 Earths,16.37,2014
5297,Kepler-249 d,621,3.09 Earths,16.37,2014
5298,Kepler-24 b,3774,1.6 Jupiters,15.04,2011
5299,Kepler-24 c,3774,1.6 Jupiters,15.04,2011
5300,Kepler-241 b,1670,6.04 Earths,15.708,2014
5301,Kepler-241 c,1670,7.13 Earths,15.708,2014
5302,Kepler-242 b,1958,7.32 Earths,15.489,2014
5303,Kepler-242 c,1958,4.66 Earths,15.489,2014
5304,Kepler-243 b,2263,6.57 Earths,15.159,2014
5305,Kepler-243 c,2263,4.62 Earths,15.159,2014
5306,Kepler-244 b,3381,8.05 Earths,15.747,2014
5307,Kepler-244 c,3381,4.86 Earths,15.747,2014
5308,Kepler-244 d,3381,15.2 Earths,15.747,2014
5309,Kepler-245 b,2810,7.13 Earths,15.546,2014
5310,Kepler-245 c,2810,0.71 Jupiters,15.546,2014
5311,Kepler-245 d,2810,21.6 Earths,15.546,2014
5312,Kepler-245 e,2810,3.71 Earths,15.546,2016
5313,Kepler-246 b,2042,6.08 Earths,15.197,2014
5314,Kepler-246 c,2042,2.86 Earths,15.197,2014
5315,Kepler-247 b,2165,3.33 Earths,15.199,2014
5316,Kepler-247 c,2165,15.7 Earths,15.199,2014
5317,Kepler-247 d,2165,14.7 Earths,15.199,2014
5318,Kepler-248 b,2410,9.38 Earths,15.506,2014
5319,Kepler-248 c,2410,15.6 Earths,15.506,2014
5320,Kepler-249 b,621,1.32 Earths,16.37,2014
5321,Kepler-249 c,621,2.89 Earths,16.37,2014
5322,Kepler-249 d,621,3.09 Earths,16.37,2014
5323,Kepler-24 b,3774,1.6 Jupiters,15.04,2011
5324,Kepler-24 c,3774,1.6 Jupiters,15.04,2011
5325,Kepler-257 c,2545,25.2 Earths,15.652,2014
5326,Kepler-257 d,2545,21.7 Earths,15.652,2014
5327,Kepler-258 b,1879,15.5 Earths,15.49,2014
5328,Kepler-258 c,1879,12.7 Earths,15.49,2014
5329,Kepler-259 b,3269,8.25 Earths,15.378,2014
5330,Kepler-259 c,3269,7.75 Earths,15.378,2014
5331,Kepler-25 b,793,8.7 Earths,10.769,2011
5332,Kepler-25 c,793,15.2 Earths,10.769,2011
5333,Kepler-25 d,793,0.226 Jupiters,10.769,2014
5334,Kepler-260 b,2046,4.7 Earths,14.253,2014
5335,Kepler-260 c,2046,3.68 Earths,14.253,2014
5336,Kepler-261 b,1036,5.39 Earths,13.738,2014
5337,Kepler-261 c,1036,4.66 Earths,13.738,2014
5338,Kepler-262 b,2000,2.42 Earths,14.478,2014
5339,Kepler-262 c,2000,3.33 Earths,14.478,2014
5340,Kepler-263 b,2462,7.61 Earths,15.435,2014
5341,Kepler-263 c,2462,6.66 Earths,15.435,2014
5342,Kepler-264 b,3073,11.1 Earths,13.15,2014
5343,Kepler-264 c,3073,8.4 Earths,13.15,2014
5344,Kepler-265 b,4176,4.12 Earths,15.47,2014
5345,Kepler-265 c,4176,7.41 Earths,15.47,2014
5346,Kepler-265 d,4176,6.76 Earths,15.47,2014
5347,Kepler-265 e,4176,7.22 Earths,15.47,2014
5348,Kepler-266 b,4472,6.71 Earths,15.787,2014
5349,Kepler-266 c,4472,14.4 Earths,15.787,2014
5350,Kepler-267 b,864,37.9 Earths,16.69,2014
5351,Kepler-267 c,864,5.18 Earths,16.69,2014
5352,Kepler-267 d,864,5.77 Earths,16.69,2014
5353,Kepler-268 b,2779,7.04 Earths,13.844,2014
5354,Kepler-268 c,2779,11.4 Earths,13.844,2014
5355,Kepler-269 b,7363,6.66 Earths,15.646,2014
5356,Kepler-269 c,7363,3.5 Earths,15.646,2014
5357,Kepler-26 b,1094,5.12 Earths,15.853,2011
5358,Kepler-26 c,1094,6.2 Earths,15.853,2011
5359,Kepler-26 d,1094,1.24 Earths,15.853,2014
5360,Kepler-26 e,1094,6.39 Earths,15.853,2014
5361,Kepler-270 b,3095,4.7 Earths,13.9,2014
5362,Kepler-270 c,3095,3.78 Earths,13.9,2014
5363,Kepler-271 b,1320,2.04 Earths,13.578,2014
5364,Kepler-271 c,1320,0.809 Earths,13.578,2014
5365,Kepler-271 d,1320,0.219 Earths,13.578,2016
5366,Kepler-272 b,2902,0.245 Jupiters,14.811,2014
5367,Kepler-272 c,2902,0.308 Jupiters,14.811,2014
5368,Kepler-272 d,2902,5.69 Earths,14.811,2014
5369,Kepler-273 b,2329,2.86 Earths,15.1,2014
